Species,Gender,Type1,Type2,Move1,Move2,Move3,Move4,HeldItem,HP,ATK,DEF,SPA,SPD,SPE,MetLoc,MetLevel,OT,HP_IV,ATK_IV,DEF_IV,SPD_IV,SPE_IV,EXP,Level,HP_EV,ATK_EV,DEF_EV,SPA_EV,SPD_EV,SPE_EV,IsNicknamed,IsShiny
Lugia,-,Psychic,Flying,Aeroblast,Recover,Safeguard,Toxic,Leftovers,415,278,358,278,406,318,Whirl Islands,60,SILVER,15,15,15,15,15,1250000,100,65535,65535,65535,65535,65535,65535,FALSE,FALSE
Scizor,M,Bug,Steel,Swords Dance,Hidden Power,Agility,Baton Pass,Gold Berry,176,179,149,102,127,116,National Park,14,SILVER,15,13,13,11,15,125000,50,65535,65535,65535,65535,65535,65535,FALSE,FALSE
Miltank,F,Normal,NA,Body Slam,Rollout,Defense Curl,Milk Drink,King's Rock,170,100,125,60,90,120,Route 38,13,SILVER,15,15,15,15,15,156250,50,0,0,0,0,0,0,TRUE,FALSE
Abra,M,Psychic,NA,Teleport,(None),(None),(None),(None),27,10,8,27,17,24,Route 34,10,SILVER,10,7,4,6,7,560,10,0,0,0,0,0,0,TRUE,FALSE
Granbull,M,Normal,NA,Curse,Shadow Ball,Return,Hidden Power,TwistedSpoon,188,168,126,78,78,96,Route 34,10,SILVER,7,12,15,13,15,100000,50,65535,65535,65535,0,0,65535,FALSE,FALSE
Ditto,-,Normal,NA,Transform,(None),(None),(None),(None),30,16,17,14,14,14,Route 34,10,SILVER,2,8,14,0,1,1000,10,0,0,0,0,0,0,TRUE,FALSE
Metapod,M,Bug,NA,Harden,(None),(None),(None),(None),24,9,13,9,9,10,Ilex Forest,7,SILVER,4,14,5,8,6,343,7,0,0,0,0,0,0,TRUE,FALSE
Kakuna,F,Bug,NA,Harden,(None),(None),(None),(None),25,9,13,9,9,11,Ilex Forest,7,SILVER,15,7,13,5,13,343,7,0,0,0,0,0,0,TRUE,FALSE
Unown,-,Psychic,NA,Hidden Power,(None),(None),(None),(None),21,12,11,12,10,9,Ruins of Alph,5,SILVER,14,1,13,4,1,125,5,0,0,0,0,0,0,TRUE,FALSE
Vulpix,M,Fire,NA,Ember,Tail Whip,(None),(None),Burnt Berry,19,10,9,10,11,12,(None),5,SILVER,10,13,2,2,5,125,5,0,0,0,0,0,0,TRUE,FALSE
Sandshrew,M,Ground,NA,Scratch,Defense Curl,(None),(None),(None),22,15,16,8,9,11,Union Cave,6,SILVER,4,14,9,6,14,216,6,0,0,0,0,0,0,TRUE,FALSE
