Sprite,Position,Nickname,Species,Nature,Gender,ESV,HP_Type,Ability,Move1,Move2,Move3,Move4,HeldItem,HP,ATK,DEF,SPA,SPD,SPE,MetLoc,EggLoc,Ball,OT,Version,OTLang,Legal,CountryID,RegionID,DSRegionID,EC,PID,HP_IV,ATK_IV,DEF_IV,SPA_IV,SPD_IV,SPE_IV,EXP,Level,HP_EV,ATK_EV,DEF_EV,SPA_EV,SPD_EV,SPE_EV,Cool,Beauty,Cute,Smart,Tough,Sheen,Markings,NotOT,AbilityNum,GenderFlag,AltForms,PKRS_Strain,PKRS_Days,MetLevel,OT_Gender,FatefulFlag,IsEgg,IsNicknamed,IsShiny,TID,SID,TSV,Move1_PP,Move2_PP,Move3_PP,Move4_PP,Move1_PPUp,Move2_PPUp,Move3_PPUp,Move4_PPUp,Relearn1,Relearn2,Relearn3,Relearn4,Checksum,Friendship,OT_Affection,Egg_Year,Egg_Month,Egg_Day,Met_Year,Met_Month,Met_Day,Encounter
,BOX 1:01,GOLDEEN,Goldeen,Hardy,F,65535,Bug,,Peck,Tail Whip,(None),(None),(None),20,11,12,11,11,12,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,12,1,13,10,10,8,125,5,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,30,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:02,DODUO,Doduo,Hardy,M,65535,Ground,,Peck,Growl,Fury Attack,(None),(None),54,49,28,29,29,45,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,7,8,3,15,15,9,13824,24,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,40,20,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:03,MACHOP,Machop,Hardy,M,65535,Poison,,Karate Chop,(None),(None),(None),(None),53,38,25,17,17,18,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,0,12,6,0,0,2,3798,18,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,25,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:04,DROWZEE,Drowzee,Hardy,F,65535,Steel,,Pound,Hypnosis,Disable,(None),(None),46,20,21,32,32,20,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,12,5,11,0,0,8,3375,15,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,20,20,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:05,SQUIRTLE,Squirtle,Hardy,M,65535,Dark,,Tackle,Tail Whip,Bubble,(None),(None),31,17,21,18,18,16,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,15,15,15,15,560,10,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,30,30,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:06,ABRA,Abra,Hardy,M,65535,Ice,,Teleport,(None),(None),(None),(None),22,8,7,20,20,19,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,12,7,5,8,8,14,236,7,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:07,DIGLETT,Diglett,Hardy,M,65535,Dragon,,Scratch,Growl,(None),(None),(None),31,26,14,22,22,37,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,8,11,6,10,10,6,4096,16,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,40,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:08,RATTATA,Rattata,Hardy,M,65535,Ghost,,Tackle,Tail Whip,Quick Attack,(None),(None),31,21,16,14,14,25,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,10,13,14,14,14,13,1728,12,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,30,30,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:09,PARAS,Paras,Hardy,F,65535,Poison,,Scratch,Stun Spore,(None),(None),(None),32,23,22,20,20,14,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,0,0,14,4,4,10,2197,13,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,30,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:10,MANKEY,Mankey,Hardy,M,65535,Dark,,Scratch,Leer,(None),(None),(None),16,10,7,7,7,10,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,12,15,3,12,12,14,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,30,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:11,SANDSHREW,Sandshrew,Hardy,M,65535,Steel,,Scratch,Sand Attack,(None),(None),(None),32,21,22,12,12,15,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,12,9,3,6,6,10,1000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,15,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:12,SPEAROW,Spearow,Hardy,M,65535,Electric,,Peck,Growl,Leer,(None),(None),30,21,12,14,14,22,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,5,14,3,11,11,8,1331,11,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,40,30,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:13,ZUBAT,Zubat,Hardy,M,65535,Fire,,Leech Life,(None),(None),(None),(None),26,15,13,14,14,16,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,1,14,12,13,13,8,729,9,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,15,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:14,GEODUDE,Geodude,Hardy,F,65535,Electric,,Tackle,(None),(None),(None),(None),29,22,26,12,12,10,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,5,6,7,9,9,8,560,10,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:15,WIGGLYTUFF,Wigglytuff,Hardy,F,65535,Bug,,Sing,(None),(None),(None),(None),30,12,10,10,10,9,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,13,1,13,5,5,0,100,5,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,15,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:16,ODDISH,Oddish,Hardy,M,65535,Ice,,Absorb,(None),(None),(None),(None),35,20,21,26,26,15,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,13,15,13,15,15,14,973,12,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:17,BUTTERFREE,Butterfree,Hardy,F,65535,Rock,,Stun Spore,Sleep Powder,Flash,Confusion,(None),52,22,28,36,36,32,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,10,1,12,8,8,5,5551,17,1984,2413,2422,1652,1652,2251,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,30,15,20,25,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:18,VOLTY,Voltorb,Hardy,-,65535,Rock,,Tackle,Screech,Sonic Boom,(None),(None),49,20,28,30,30,48,,,None,TIM,,,TRUE,N/A,N/A,N/A,0,0,8,9,8,8,8,8,8000,20,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,2,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,29189,0,0,35,40,20,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 1:19,MACHOP,Machop,Hardy,M,65535,Ghost,,Low Kick,Leer,Focus Energy,Karate Chop,(None),48,30,21,19,19,16,,,None,SILVER,,ENG (English),TRUE,N/A,N/A,N/A,0,0,8,5,6,12,12,4,2035,15,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,55330,0,0,20,30,30,25,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:01,KRABBY,Krabby,Hardy,F,65535,Ghost,,Bubble,Leer,Vise Grip,Guillotine,(None),54,60,57,20,20,34,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,9,5,14,5,5,8,15625,25,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,30,30,30,5,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:02,MUK,Muk,Hardy,M,65535,Bug,,Pound,Disable,Poison Gas,Minimize,(None),127,87,66,58,58,41,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,13,13,13,11,11,2,42875,35,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,20,40,20,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:03,LAPRAS,Lapras,Hardy,M,65535,Dark,,Surf,Body Slam,Mist,Sing,(None),127,65,62,71,71,50,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,15,15,15,15,15,15,33750,30,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,24,24,48,24,3,3,3,3,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:04,SLOWPOKE,Slowpoke,Hardy,M,65535,Flying,,Confusion,(None),(None),(None),(None),53,28,24,21,21,11,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,4,12,1,14,14,6,3375,15,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,25,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:05,VENONAT,Venonat,Hardy,F,65535,Dragon,,Disable,Supersonic,Confusion,Poison Powder,(None),67,34,29,28,28,33,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,9,7,2,9,9,14,13824,24,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,20,25,35,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:06,RHYHORN,Rhyhorn,Hardy,F,65535,Rock,,Horn Attack,(None),(None),(None),(None),79,50,54,23,23,18,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,8,5,4,6,6,2,19531,25,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,25,0,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:07,NIDORINA,Nidorina,Hardy,F,65535,Psychic,,Scratch,Double Kick,Poison Sting,Tail Whip,(None),92,49,55,45,45,43,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,9,7,12,9,9,4,27021,32,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,35,30,35,30,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
,BOX 2:08,EXEGGCUTE,Exeggcute,Hardy,M,65535,Grass,,Barrage,Hypnosis,(None),(None),(None),58,28,44,33,33,28,,,None,RED,,ENG (English),TRUE,N/A,N/A,N/A,0,0,0,14,10,4,4,14,13310,22,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,-1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,57982,0,0,20,20,0,0,0,0,0,0,(None),(None),(None),(None),0,0,0,1,1,1,1,1,1,0
