,Species,Gender,Type1,Type2,Move1,Move2,Move3,Move4,HP,ATK,DEF,SPA,SPD,SPE,OT,HP_IV,ATK_IV,DEF_IV,SPD_IV,SPE_IV,EXP,Level,HP_EV,ATK_EV,DEF_EV,SPA_EV,SPD_EV,SPE_EV,IsNicknamed
1,Goldeen,F,Water,NA,Peck,Tail Whip,(None),(None),20,11,12,11,11,12,RED,12,1,13,10,8,125,5,0,0,0,0,0,0,FALSE
2,Doduo,M,Normal,Flying,Peck,Growl,Fury Attack,(None),54,49,28,29,29,45,RED,7,8,3,15,9,13824,24,0,0,0,0,0,0,FALSE
3,Machop,M,Fighting,NA,Karate Chop,(None),(None),(None),53,38,25,17,17,18,RED,0,12,6,0,2,3798,18,0,0,0,0,0,0,FALSE
4,Drowzee,F,Psychic,NA,Pound,Hypnosis,Disable,(None),46,20,21,32,32,20,RED,12,5,11,0,8,3375,15,0,0,0,0,0,0,FALSE
5,Squirtle,M,Water,NA,Tackle,Tail Whip,Bubble,(None),31,17,21,18,18,16,RED,15,15,15,15,15,560,10,0,0,0,0,0,0,FALSE
6,Abra,M,Psychic,NA,Teleport,(None),(None),(None),22,8,7,20,20,19,RED,12,7,5,8,14,236,7,0,0,0,0,0,0,FALSE
7,Diglett,M,Ground,NA,Scratch,Growl,(None),(None),31,26,14,22,22,37,RED,8,11,6,10,6,4096,16,0,0,0,0,0,0,FALSE
8,Rattata,M,Normal,NA,Tackle,Tail Whip,Quick Attack,(None),31,21,16,14,14,25,RED,10,13,14,14,13,1728,12,0,0,0,0,0,0,FALSE
9,Paras,F,Bug,Grass,Scratch,Stun Spore,(None),(None),32,23,22,20,20,14,RED,0,0,14,4,10,2197,13,0,0,0,0,0,0,FALSE
10,Mankey,M,Fighting,NA,Scratch,Leer,(None),(None),16,10,7,7,7,10,RED,12,15,3,12,14,27,3,0,0,0,0,0,0,FALSE
11,Sandshrew,M,Ground,NA,Scratch,Sand Attack,(None),(None),32,21,22,12,12,15,RED,12,9,3,6,10,1000,10,0,0,0,0,0,0,FALSE
12,Spearow,M,Normal,Flying,Peck,Growl,Leer,(None),30,21,12,14,14,22,RED,5,14,3,11,8,1331,11,0,0,0,0,0,0,FALSE
13,Zubat,M,Poison,Flying,Leech Life,(None),(None),(None),26,15,13,14,14,16,RED,1,14,12,13,8,729,9,0,0,0,0,0,0,FALSE
14,Geodude,F,Rock,Ground,Tackle,(None),(None),(None),29,22,26,12,12,10,RED,5,6,7,9,8,560,10,0,0,0,0,0,0,FALSE
15,Wigglytuff,F,Normal,NA,Sing,(None),(None),(None),30,12,10,10,10,9,RED,13,1,13,5,0,100,5,0,0,0,0,0,0,FALSE
16,Oddish,M,Grass,Poison,Absorb,(None),(None),(None),35,20,21,26,26,15,RED,13,15,13,15,14,973,12,0,0,0,0,0,0,FALSE
17,Butterfree,F,Bug,Flying,Stun Spore,Sleep Powder,Flash,Confusion,52,22,28,36,36,32,RED,10,1,12,8,5,5551,17,1984,2413,2422,1652,1652,2251,FALSE
18,Voltorb,-,Electric,NA,Tackle,Screech,Sonic Boom,(None),49,20,28,30,30,48,TIM,8,9,8,8,8,8000,20,0,0,0,0,0,0,TRUE
19,Machop,M,Fighting,NA,Low Kick,Leer,Focus Energy,Karate Chop,48,30,21,19,19,16,SILVER,8,5,6,12,4,2035,15,0,0,0,0,0,0,FALSE
20,Krabby,F,Water,NA,Bubble,Leer,Vise Grip,Guillotine,54,60,57,20,20,34,RED,9,5,14,5,8,15625,25,0,0,0,0,0,0,FALSE
21,Muk,M,Poison,NA,Pound,Disable,Poison Gas,Minimize,127,87,66,58,58,41,RED,13,13,13,11,2,42875,35,0,0,0,0,0,0,FALSE
